timestamp, # Bytes,# Packets,# Unique Source IPs,# Unique Destination IPs
1219276800, 35180522.802778,390881.79236111,26832.838194444,173286.13472222
1219363200, 38186230.339583,386407.07152778,26628.852777778,174434.09097222
1219449600, 31795417.861111,325517.23819444,25082.927777778,153738.35625
1219536000, 35161436.179167,366307.13611111,29897.548611111,174353.17083333
1219622400, 27898891.717361,306000.49583333,19814.695833333,177679.94583333
1219708800, 28187094.467361,312869.36944444,17917.075,191498.64305556
1219795200, 26457874.14375,277376.90625,18177.667361111,160014.55833333
1219881600, 24736446.729861,244060.83819444,18269.780555556,126821.98680556
1219968000, 25743847.952778,264149.41666667,18754.947916667,138485.47569444
1220054400, 26347409.729167,264298.20833333,19276.790972222,136764.42708333
1220140800, 26350186.719444,271684.87430556,18860.9875,138869.71180556
1220227200, 25951417.157639,275931.85902778,18027.646527778,144755.16111111
1220313600, 28525204.35,296446.94444444,19273.007638889,170139.31319444
1220400000, 32065606.134722,315009.93055556,19058.421527778,165439.61527778
1220486400, 31520828.401389,387306.04375,18488.688888889,181224.88541667
1220572800, 29150776.994444,307040.07708333,19246.360416667,153953.75347222
1220659200, 27902597.141667,299358.59652778,21528.385416667,153112.82777778
1220745600, 27524084.967361,302343.80972222,19615.5625,170199.09652778
1220832000, 25703169.527778,258194.79236111,18481.105555556,150669.5375
1220918400, 31070627.702778,295152.56944444,18188.653472222,150420.90694444
1221004800, 30020856.391667,240176.52222222,17423.954861111,127064.95833333
1221091200, 25918586.890278,287585.56944444,17001.725,172965.23194444
1221177600, 25382764.586805,266498.00416667,18127.304166667,156826.72430556
1221264000, 28485395.945351,329975.52803407,20103.706884315,183744.38396026
1221350400, 26580017.390278,284520.12777778,20349.4125,164446.11388889
1221436800, 26713713.765278,313635.88541667,18816.370833333,200768.03194444
1221523200, 26546694.622222,293990.67986111,18780.448611111,150678.40486111
1221609600, 31258909.413889,437161.12708333,31609.927083333,183855.60277778
1221696000, 27898460.905556,369468.66875,35961.770138889,159506.44375
1221782400, 26505068.142361,326399.12083333,17446.03125,213862.79583333
1221868800, 26450625.701389,282094.97430556,20185.999305556,160094.59861111
1221955200, 27184475.388889,307079.58055556,19754.148611111,144044.28888889
1222041600, 28659533.750694,353452.22986111,17686.70625,160514.52638889
1222128000, 27881945.661806,340316.4875,18045.559722222,184856.10486111
1222214400, 28107272.527778,344356.27847222,18398.736111111,182793.91041667
1222300800, 29043192.522222,355059.43958333,20149.940972222,184269.54930556
1222387200, 27641300.455556,322308.50069445,18555.865972222,161999.24513889
1222473600, 28282928.825694,320283.93402778,21961.554861111,150627.16319444
1222560000, 29887504.853472,364454.92569444,20611.318055556,181079.29652778
1222646400, 28666911.651389,353468.48958333,18206.828472222,184537
1222732800, 30209462.741667,376193.55763889,17868.936805556,169999.22708333
1222819200, 29368524.191667,332591.38263889,17184.15,145263.92291667
1222905600, 30403809.747917,398964.45277778,16733.966666667,190163.21666667
1222992000, 30870978.586111,432608.98680556,17006.670138889,226931.96319444
1223078400, 31144760.106944,405053.93125,18854.297916667,206869.51041667
1223164800, 29771713.907639,409738.46597222,18743.088888889,224840.78680556
1223251200, 28809593.516667,378967.22986111,20215.724305556,177349.82152778
1223337600, 28178349.593343,361521.68234443,17616.464544139,175911.55861071
1223424000, 28913292.137184,382451.59277978,16978.807942238,188752.93935018
1223510400, 28677149.161806,370481.53402778,16519.235416667,178030.51527778
1223596800, 29344064.875,359893.2875,17180.925694444,170931.21388889
1223683200, 33815222.497917,379271.99305556,20520.4,164615.29652778
1223769600, 30965970.011806,341977.87430556,19062.667361111,161279.50416667
1223856000, 33689623.74,394046.74666667,17665.801111111,180632.78888889
1223942400, ,,,
1224028800, ,,,
1224115200, ,,,
1224201600, ,,,
1224288000, ,,,
1224374400, ,,,
1224460800, ,,,
1224547200, ,,,
1224633600, ,,,
1224720000, 31396205.681159,381991.78985507,14800.253623188,228951.72463768
1224806400, 34645838.827778,339182.47916667,18379.907638889,159136.39375
1224892800, 37026325.125,349186.67222222,20353.152777778,161818.56875
1224979200, 36229281.103472,366875.70555556,20381.865972222,177493.44027778
1225065600, 33500764.133333,337748.86597222,18667.293055556,172279.04652778
1225152000, 34700905.748611,357439.40902778,19076.744444444,180953.74375
1225238400, 33979680.434722,352193.8625,18692.763194444,184929.07152778
1225324800, 35741902.063889,381981.44861111,19126.191666667,181719.30833333
1225411200, 37116471.05625,391970.35347222,19807.158333333,176921.86458333
1225497600, 42528380.163194,454351.87083333,22381.720138889,202251.74166667
1225584000, 39123541.310417,417112.81666667,21459.845833333,192713.04513889
1225670400, 38347460.706945,433245.62430556,19878.597222222,195767.57708333
1225756800, 39192748.620833,453581.1,20617.229861111,198825.10902778
1225843200, 39067551.911806,456020.74861111,20125.401388889,219892.1375
1225929600, 34795250.994444,350324.90902778,19470.007638889,164062.49722222
1226016000, 36832919.230556,394470.96875,20688.34375,189582.74722222
1226102400, 41227731.859028,451069.10763889,23154.741666667,215961.51944444
1226188800, 41021006.778472,471220.54652778,21602.504166667,235559.44861111
1226275200, 37587231.9375,442284.23194444,19305.372916667,220035.39444444
1226361600, 37764047.086806,422797.23958333,19522.627083333,185969.46319444
1226448000, 34843867.654861,379412.84305556,19070.852777778,178113.20416667
1226534400, 36064891.097222,408460.44444445,18550.088194444,192235.93888889
1226620800, 36974977.775694,399290.49444444,19813.070138889,185455.34027778
1226707200, 38036967.554167,390152.23194444,21784.427083333,166152.57152778
1226793600, 39056658.231945,431901.53125,21272.722222222,172225.92777778
1226880000, 36613496.970833,421637.92361111,19190.938194444,191896.4
1226966400, 36942080.403472,418320.60902778,19279.892361111,205282.1125
1227052800, 34875228.740278,375549.46319444,19160.280555556,189895.71527778
1227139200, 33847057.541667,377537.40347222,18818.802083333,181337.01736111
1227225600, 36041504.868826,474040.85020243,34868.032388664,215592.21700405
1227312000, ,,,
1227398400, ,,,
1227484800, ,,,
1227571200, 31409276.190789,553535.14912281,49764.039473684,309815.66666667
1227657600, 34362019.558333,536154.78125,47270.260416667,252268.34930556
1227744000, 37450041.329861,565895.98402778,46555.814583333,291067.09375
1227830400, 36440389.185417,580229.18472222,47634.053472222,278410.57361111
1227916800, 47792967.977083,619988.49791667,52161.455555556,277751.38611111
1228003200, 47438492.896528,626514.5375,51716.565277778,257550.08819444
1228089600, 35078726.647917,565098.51527778,49681.78125,265772.76527778
1228176000, 34438422.634722,542758.06527778,48206.059027778,259439.64166667
1228262400, 37484337.509028,553434.35347222,46824.452777778,265781.26180556
1228348800, 37185787.320139,540842.63472222,47575.505555556,250477.44791667
1228435200, 35893274.745139,542570.99027778,46132.447222222,247450.50902778
1228521600, 53033234.777083,845087.47222222,95781.298611111,357087.34236111
1228608000, 95086760.032639,1613152.3458333,222266.59027778,549124.70694444
1228694400, 37443074.76875,573423.51666667,50921.860416667,236414.00902778
1228780800, 36557059.014583,550227.09027778,46121.623611111,260234.35902778
1228867200, 39180935.516667,593254.2125,45869.054166667,288601.10555556
1228953600, 38078589.431944,598003.22638889,44926.849305556,293492.75069444
1229040000, 38943835.070833,589676.09444444,45493.786805556,301526.95972222
1229126400, 40665372.822917,632168.78333333,48672.715972222,307748.36319444
1229212800, 36928143.35,551939.73819444,47380.554166667,248909.30277778
1229299200, 35055786.508333,528324.56875,44632.652777778,258100.24722222
1229385600, 33866872.406944,517612.76458333,45374.559027778,247270.89236111
1229472000, 33628996.715972,514390.13194445,45014.207638889,240129.40833333
1229558400, 31372946.602778,479907.62430556,43804.527777778,221625.70625
1229644800, 32947443.938889,497277.71041667,44584.708333333,231779.52708333
1229731200, 34014392.773611,485782.73888889,47111.475,200947.57777778
1229817600, 34476588.918056,505687.53680556,45615.478472222,225854.65555556
1229904000, 33726949.76,488948.85777778,43774.751111111,214218.99333333
1229990400, ,,,
1230076800, ,,,
1230163200, ,,,
1230249600, ,,,
1230336000, ,,,
1230422400, ,,,
1230508800, ,,,
1230595200, ,,,
1230681600, ,,,
1230768000, ,,,
1230854400, ,,,
1230940800, ,,,
1231027200, ,,,
1231113600, ,,,
1231200000, ,,,
1231286400, ,,,
1231372800, ,,,
1231459200, ,,,
1231545600, ,,,
1231632000, ,,,
1231718400, ,,,
1231804800, ,,,
1231891200, ,,,
1231977600, ,,,
1232064000, ,,,
1232150400, 32906669.075,617688.25833333,61505.383333333,359361.95
1232236800, ,,,
1232323200, 39609381.164583,707868.39930556,78518.805555556,419148.14027778
1232409600, 39294632.470833,704213.14375,78354.051388889,406795.11666667
